dataset,n_bits,rounding_threshold,p_error,imagen_idx,tiempo_segundos,prediccion,etiqueta_real
organamnist,5,5,0.008,83,103.30296635627747,7,7
organamnist,5,5,0.008,84,103.15428113937378,4,4
organamnist,5,5,0.008,85,103.19669961929321,8,8
organamnist,5,5,0.008,86,103.04409575462341,10,5
organamnist,5,5,0.008,87,103.96324229240417,6,6
organamnist,5,5,0.008,88,103.62057709693909,9,9
organamnist,5,5,0.008,89,102.92453861236572,10,10
organamnist,5,5,0.008,90,103.25963640213013,6,6
organamnist,5,5,0.008,91,103.59902358055115,7,7
organamnist,5,5,0.008,92,103.21215772628784,10,10
organamnist,5,5,0.008,93,103.34855437278748,4,4
organamnist,5,5,0.008,94,102.9695246219635,10,10
organamnist,5,5,0.008,95,102.58673071861267,6,6
organamnist,5,5,0.008,96,103.47719359397888,7,10
organamnist,5,5,0.008,97,103.43897652626038,6,6
organamnist,5,5,0.008,98,102.9478371143341,9,10
organamnist,5,5,0.008,99,102.94432234764099,4,4
organamnist,5,6,0.008,0,158.29632592201233,9,4
organamnist,5,6,0.008,1,154.95620274543762,9,0
organamnist,5,6,0.008,2,155.7479603290558,8,8
organamnist,5,6,0.008,3,154.59492564201355,6,6
organamnist,5,6,0.008,4,155.0923993587494,5,5
organamnist,5,6,0.008,5,154.34404492378235,0,0
organamnist,5,6,0.008,6,154.60050988197327,8,8
organamnist,5,6,0.008,7,154.87195754051208,7,7
organamnist,5,6,0.008,8,154.52429127693176,9,0
organamnist,5,6,0.008,9,154.30060195922852,6,6
organamnist,5,6,0.008,10,154.82815265655518,4,4
organamnist,5,6,0.008,11,154.97351241111755,7,7
organamnist,5,6,0.008,12,155.07390332221985,4,4
organamnist,5,6,0.008,13,154.99266028404236,10,4
organamnist,5,6,0.008,14,155.19377756118774,7,7
organamnist,5,6,0.008,15,155.0366759300232,8,8
organamnist,5,6,0.008,16,154.89068365097046,9,0
organamnist,5,6,0.008,17,154.48279452323914,8,8
organamnist,5,6,0.008,18,155.4164261817932,5,5
organamnist,5,6,0.008,19,155.21995043754578,10,10
organamnist,5,6,0.008,20,155.04422044754028,6,6
organamnist,5,6,0.008,21,154.6481921672821,10,10
organamnist,5,6,0.008,22,155.33275985717773,5,5
organamnist,5,6,0.008,23,154.62991333007812,5,4
organamnist,5,6,0.008,24,154.69927048683167,3,5
organamnist,5,6,0.008,25,154.90527415275574,0,0
organamnist,5,6,0.008,26,154.97582364082336,2,2
organamnist,5,6,0.008,27,155.12635278701782,5,5
organamnist,5,6,0.008,28,154.59266638755798,9,4
organamnist,5,6,0.008,29,155.40974807739258,5,5
organamnist,5,6,0.008,30,155.126318693161,7,7
organamnist,5,6,0.008,31,155.13995504379272,10,4
organamnist,5,6,0.008,32,154.9743013381958,10,10
organamnist,5,6,0.008,33,154.59173035621643,7,7
organamnist,5,6,0.008,34,154.8388590812683,9,9
organamnist,5,6,0.008,35,154.8212583065033,5,5
organamnist,5,6,0.008,36,154.52706861495972,6,6
organamnist,5,6,0.008,37,155.6456573009491,10,10
organamnist,5,6,0.008,38,155.19662952423096,6,6
organamnist,5,6,0.008,39,154.81824779510498,7,7
organamnist,5,6,0.008,40,154.62422585487366,9,4
organamnist,5,6,0.008,41,154.80278205871582,4,10
organamnist,5,6,0.008,42,155.13541316986084,6,6
organamnist,5,6,0.008,43,155.0553195476532,6,6
organamnist,5,6,0.008,44,155.54080843925476,5,4
organamnist,5,6,0.008,45,154.97304916381836,2,2
organamnist,5,6,0.008,46,155.71624636650085,7,7
organamnist,5,6,0.008,47,155.67904472351074,5,1
organamnist,5,6,0.008,48,154.95992732048035,5,5
organamnist,5,6,0.008,49,155.52896928787231,6,6
organamnist,5,6,0.008,50,154.8696985244751,5,4
organamnist,5,6,0.008,51,155.67033338546753,8,8
organamnist,5,6,0.008,52,155.1423943042755,5,5
organamnist,5,6,0.008,53,155.34824872016907,5,5
organamnist,5,6,0.008,54,155.06564474105835,10,10
organamnist,5,6,0.008,55,154.69205570220947,9,9
organamnist,5,6,0.008,56,154.97701597213745,8,8
organamnist,5,6,0.008,57,154.97144770622253,10,10
organamnist,5,6,0.008,58,154.76164484024048,6,6
organamnist,5,6,0.008,59,155.93341279029846,10,10
organamnist,5,6,0.008,60,155.06415843963623,4,4
organamnist,5,6,0.008,61,155.22815203666687,7,7
organamnist,5,6,0.008,62,154.8248631954193,9,9
organamnist,5,6,0.008,63,154.98584699630737,10,10
organamnist,5,6,0.008,64,154.72497463226318,5,5
organamnist,5,6,0.008,65,154.218031167984,6,6
organamnist,5,6,0.008,66,155.23364543914795,6,6
organamnist,5,6,0.008,67,155.17271089553833,7,7
organamnist,5,6,0.008,68,155.08119988441467,6,5
organamnist,5,6,0.008,69,154.5851709842682,5,1
organamnist,5,6,0.008,70,154.5813705921173,6,6
organamnist,5,6,0.008,71,155.82444381713867,9,9
organamnist,5,6,0.008,72,155.3169240951538,4,10
organamnist,5,6,0.008,73,154.93086552619934,10,5
organamnist,5,6,0.008,74,155.96563625335693,6,6
organamnist,5,6,0.008,75,156.0652153491974,5,5
organamnist,5,6,0.008,76,154.70963668823242,0,4
organamnist,5,6,0.008,77,154.9770324230194,4,4
organamnist,5,6,0.008,78,155.41027641296387,4,4
organamnist,5,6,0.008,79,154.78593134880066,5,5
organamnist,5,6,0.008,80,155.21493935585022,6,6
organamnist,5,6,0.008,81,154.60222482681274,3,3
organamnist,5,6,0.008,82,155.33467197418213,6,6
organamnist,5,6,0.008,83,154.73310446739197,7,7
organamnist,5,6,0.008,84,154.9593207836151,4,4
organamnist,5,6,0.008,85,155.27235102653503,8,8
organamnist,5,6,0.008,86,155.50014114379883,6,5
organamnist,5,6,0.008,87,154.97139430046082,6,6
organamnist,5,6,0.008,88,154.5265691280365,9,9
organamnist,5,6,0.008,89,155.34496688842773,10,10
organamnist,5,6,0.008,90,155.03597855567932,6,6
organamnist,5,6,0.008,91,154.97708988189697,7,7
organamnist,5,6,0.008,92,155.50444269180298,10,10
organamnist,5,6,0.008,93,154.7632932662964,4,4
organamnist,5,6,0.008,94,155.02569127082825,10,10
organamnist,5,6,0.008,95,154.9538164138794,6,6
organamnist,5,6,0.008,96,155.01685643196106,7,10
organamnist,5,6,0.008,97,154.85416102409363,6,6
organamnist,5,6,0.008,98,154.82110404968262,9,10
organamnist,5,6,0.008,99,154.83394384384155,5,4
organamnist,6,5,0.008,0,136.81775665283203,9,4
organamnist,6,5,0.008,1,136.48989033699036,0,0
organamnist,6,5,0.008,2,135.69652652740479,8,8
organamnist,6,5,0.008,3,135.7825312614441,6,6
organamnist,6,5,0.008,4,136.4188370704651,5,5
organamnist,6,5,0.008,5,136.19496870040894,0,0
organamnist,6,5,0.008,6,136.05050444602966,8,8
organamnist,6,5,0.008,7,136.40474367141724,7,7
organamnist,6,5,0.008,8,135.93784523010254,10,0
organamnist,6,5,0.008,9,136.21748423576355,6,6
organamnist,6,5,0.008,10,136.41426157951355,6,4
organamnist,6,5,0.008,11,136.27964735031128,7,7
organamnist,6,5,0.008,12,136.57092308998108,4,4
organamnist,6,5,0.008,13,136.4702603816986,10,4
organamnist,6,5,0.008,14,135.57110571861267,7,7
organamnist,6,5,0.008,15,136.02027654647827,8,8
organamnist,6,5,0.008,16,136.50931644439697,0,0
organamnist,6,5,0.008,17,136.27563953399658,8,8
organamnist,6,5,0.008,18,136.40327215194702,4,5
organamnist,6,5,0.008,19,136.33343124389648,10,10
organamnist,6,5,0.008,20,136.45609068870544,6,6
organamnist,6,5,0.008,21,135.74190711975098,10,10
organamnist,6,5,0.008,22,136.19848465919495,5,5
organamnist,6,5,0.008,23,136.07903409004211,6,4
organamnist,6,5,0.008,24,136.56970238685608,6,5
organamnist,6,5,0.008,25,136.18691062927246,0,0
organamnist,6,5,0.008,26,136.06678199768066,2,2
organamnist,6,5,0.008,27,136.75500559806824,8,5
organamnist,6,5,0.008,28,136.67710900306702,4,4
organamnist,6,5,0.008,29,135.9947407245636,5,5
organamnist,6,5,0.008,30,135.80555653572083,7,7
organamnist,6,5,0.008,31,136.20333695411682,6,4
organamnist,6,5,0.008,32,136.14421796798706,10,10
organamnist,6,5,0.008,33,136.77237915992737,7,7
organamnist,6,5,0.008,34,135.76396894454956,9,9
organamnist,6,5,0.008,35,136.0002121925354,6,5
organamnist,6,5,0.008,36,136.61962866783142,6,6
organamnist,6,5,0.008,37,136.1470184326172,10,10
organamnist,6,5,0.008,38,136.04335975646973,6,6
organamnist,6,5,0.008,39,136.534898519516,7,7
organamnist,6,5,0.008,40,136.646071434021,0,4
organamnist,6,5,0.008,41,136.6364278793335,4,10
organamnist,6,5,0.008,42,136.2617244720459,6,6
organamnist,6,5,0.008,43,136.56080532073975,6,6
organamnist,6,5,0.008,44,136.26983857154846,5,4
organamnist,6,5,0.008,45,136.24665665626526,2,2
organamnist,6,5,0.008,46,136.35374307632446,7,7
organamnist,6,5,0.008,47,136.40844082832336,1,1
organamnist,6,5,0.008,48,136.6384174823761,10,5
organamnist,6,5,0.008,49,136.98416876792908,6,6
organamnist,6,5,0.008,50,136.18391394615173,10,4
organamnist,6,5,0.008,51,136.2283697128296,8,8
organamnist,6,5,0.008,52,135.90969347953796,0,5
organamnist,6,5,0.008,53,135.9380166530609,10,5
organamnist,6,5,0.008,54,136.06179332733154,9,10
organamnist,6,5,0.008,55,136.33309864997864,9,9
organamnist,6,5,0.008,56,135.89824867248535,8,8
organamnist,6,5,0.008,57,136.1448848247528,10,10
organamnist,6,5,0.008,58,135.9331660270691,6,6
organamnist,6,5,0.008,59,137.00132155418396,10,10
organamnist,6,5,0.008,60,136.25554060935974,6,4
organamnist,6,5,0.008,61,136.4766502380371,8,7
organamnist,6,5,0.008,62,136.30877590179443,9,9
organamnist,6,5,0.008,63,136.71048021316528,9,10
organamnist,6,5,0.008,64,136.30289340019226,10,5
organamnist,6,5,0.008,65,136.95600032806396,8,6
organamnist,6,5,0.008,66,136.5421380996704,6,6
organamnist,6,5,0.008,67,136.25485825538635,7,7
organamnist,6,5,0.008,68,136.45042538642883,4,5
organamnist,6,5,0.008,69,136.07503151893616,5,1
organamnist,6,5,0.008,70,136.36434817314148,6,6
organamnist,6,5,0.008,71,136.81323289871216,9,9
organamnist,6,5,0.008,72,136.2301115989685,4,10
organamnist,6,5,0.008,73,136.18732285499573,0,5
organamnist,6,5,0.008,74,136.62496256828308,6,6
organamnist,6,5,0.008,75,136.13314747810364,5,5
organamnist,6,5,0.008,76,136.82679343223572,5,4
organamnist,6,5,0.008,77,135.92397952079773,10,4
organamnist,6,5,0.008,78,136.21662878990173,4,4
organamnist,6,5,0.008,79,135.94373869895935,5,5
organamnist,6,5,0.008,80,136.3739354610443,6,6
organamnist,6,5,0.008,81,136.20015907287598,3,3
organamnist,6,5,0.008,82,136.55955171585083,6,6
organamnist,6,5,0.008,83,135.92688941955566,7,7
organamnist,6,5,0.008,84,136.5014955997467,4,4
organamnist,6,5,0.008,85,136.56776022911072,8,8
organamnist,6,5,0.008,86,137.146555185318,6,5
organamnist,6,5,0.008,87,135.8847177028656,6,6
organamnist,6,5,0.008,88,136.41109323501587,9,9
organamnist,6,5,0.008,89,136.07626843452454,10,10
organamnist,6,5,0.008,90,136.38265562057495,6,6
organamnist,6,5,0.008,91,136.20971632003784,7,7
organamnist,6,5,0.008,92,136.58191013336182,10,10
organamnist,6,5,0.008,93,136.42934346199036,6,4
organamnist,6,5,0.008,94,136.72664070129395,9,10
organamnist,6,5,0.008,95,136.1061520576477,6,6
organamnist,6,5,0.008,96,136.75279903411865,7,10
organamnist,6,5,0.008,97,136.15311670303345,6,6
organamnist,6,5,0.008,98,136.42442321777344,9,10
organamnist,6,5,0.008,99,136.11387252807617,5,4
organamnist,6,6,0.008,0,193.70892119407654,9,4
organamnist,6,6,0.008,1,191.72654914855957,0,0
organamnist,6,6,0.008,2,191.829021692276,8,8
organamnist,6,6,0.008,3,190.7798309326172,6,6
organamnist,6,6,0.008,4,191.46617078781128,5,5
organamnist,6,6,0.008,5,192.29651355743408,0,0
organamnist,6,6,0.008,6,191.87212491035461,8,8
organamnist,6,6,0.008,7,191.50191807746887,7,7
organamnist,6,6,0.008,8,190.99595856666565,0,0
organamnist,6,6,0.008,9,191.5800483226776,6,6
organamnist,6,6,0.008,10,191.58447194099426,4,4
organamnist,6,6,0.008,11,191.474205493927,7,7
organamnist,6,6,0.008,12,191.87095308303833,4,4
organamnist,6,6,0.008,13,191.46716332435608,4,4
organamnist,6,6,0.008,14,192.11301946640015,7,7
organamnist,6,6,0.008,15,191.49547386169434,8,8
organamnist,6,6,0.008,16,191.30832743644714,0,0
organamnist,6,6,0.008,17,191.01658034324646,8,8
organamnist,6,6,0.008,18,190.9663531780243,5,5
organamnist,6,6,0.008,19,191.21458959579468,10,10
organamnist,6,6,0.008,20,191.60152626037598,6,6
organamnist,6,6,0.008,21,191.62820529937744,10,10
organamnist,6,6,0.008,22,191.57205510139465,5,5
organamnist,6,6,0.008,23,191.57094740867615,4,4
organamnist,6,6,0.008,24,191.03843331336975,4,5
organamnist,6,6,0.008,25,190.9596061706543,0,0
organamnist,6,6,0.008,26,192.00799083709717,2,2
organamnist,6,6,0.008,27,191.0009093284607,5,5
organamnist,6,6,0.008,28,191.04803848266602,4,4
organamnist,6,6,0.008,29,192.83094882965088,5,5
organamnist,6,6,0.008,30,192.52508735656738,7,7
organamnist,6,6,0.008,31,192.4454116821289,4,4
organamnist,6,6,0.008,32,190.68832635879517,10,10
organamnist,6,6,0.008,33,192.28405833244324,7,7
organamnist,6,6,0.008,34,191.82504773139954,9,9
organamnist,6,6,0.008,35,191.47804760932922,5,5
organamnist,6,6,0.008,36,191.6982831954956,6,6
organamnist,6,6,0.008,37,190.89264941215515,10,10
organamnist,6,6,0.008,38,191.88113737106323,6,6
organamnist,6,6,0.008,39,191.09302020072937,7,7
organamnist,6,6,0.008,40,191.51068902015686,0,4
organamnist,6,6,0.008,41,191.42804336547852,4,10
organamnist,6,6,0.008,42,191.5151343345642,6,6
organamnist,6,6,0.008,43,190.91388535499573,6,6
organamnist,6,6,0.008,44,192.04733204841614,4,4
organamnist,6,6,0.008,45,191.38796186447144,2,2
organamnist,6,6,0.008,46,192.77889156341553,7,7
organamnist,6,6,0.008,47,191.7778251171112,0,1
organamnist,6,6,0.008,48,191.379732131958,5,5
organamnist,6,6,0.008,49,192.0675926208496,6,6
organamnist,6,6,0.008,50,191.61100816726685,10,4
organamnist,6,6,0.008,51,191.6660192012787,8,8
organamnist,6,6,0.008,52,192.97343516349792,5,5
organamnist,6,6,0.008,53,192.27289819717407,5,5
organamnist,6,6,0.008,54,191.5573320388794,10,10
organamnist,6,6,0.008,55,191.83429050445557,9,9
organamnist,6,6,0.008,56,191.85535955429077,8,8
organamnist,6,6,0.008,57,191.38479566574097,10,10
organamnist,6,6,0.008,58,191.98111701011658,6,6
organamnist,6,6,0.008,59,191.51253700256348,10,10
organamnist,6,6,0.008,60,191.536714553833,4,4
organamnist,6,6,0.008,61,191.84411191940308,7,7
organamnist,6,6,0.008,62,191.90458989143372,9,9
organamnist,6,6,0.008,63,192.18317556381226,10,10
organamnist,6,6,0.008,64,191.84845900535583,5,5
organamnist,6,6,0.008,65,191.09425854682922,8,6
organamnist,6,6,0.008,66,192.01096844673157,6,6
organamnist,6,6,0.008,67,191.564959526062,7,7
organamnist,6,6,0.008,68,191.81722855567932,5,5
organamnist,6,6,0.008,69,191.80602049827576,1,1
organamnist,6,6,0.008,70,191.6893138885498,6,6
organamnist,6,6,0.008,71,192.28805994987488,9,9
organamnist,6,6,0.008,72,191.7059817314148,10,10
organamnist,6,6,0.008,73,191.79734683036804,5,5
organamnist,6,6,0.008,74,191.62058234214783,6,6
organamnist,6,6,0.008,75,191.45597290992737,5,5
organamnist,6,6,0.008,76,190.96263933181763,0,4
organamnist,6,6,0.008,77,191.31335711479187,4,4
organamnist,6,6,0.008,78,192.22165417671204,4,4
organamnist,6,6,0.008,79,191.66356420516968,5,5
organamnist,6,6,0.008,80,191.40852332115173,6,6
organamnist,6,6,0.008,81,191.00263452529907,3,3
organamnist,6,6,0.008,82,191.5222613811493,6,6
organamnist,6,6,0.008,83,191.9280776977539,7,7
organamnist,6,6,0.008,84,191.9595673084259,4,4
organamnist,6,6,0.008,85,191.95431756973267,8,8
organamnist,6,6,0.008,86,191.5970184803009,6,5
organamnist,6,6,0.008,87,191.43921875953674,6,6
organamnist,6,6,0.008,88,191.04941058158875,9,9
organamnist,6,6,0.008,89,190.86064100265503,10,10
organamnist,6,6,0.008,90,191.46111011505127,6,6
organamnist,6,6,0.008,91,191.84759521484375,7,7
organamnist,6,6,0.008,92,191.7427532672882,10,10
organamnist,6,6,0.008,93,191.3798680305481,4,4
organamnist,6,6,0.008,94,191.60054636001587,10,10
organamnist,6,6,0.008,95,191.78376293182373,6,6
organamnist,6,6,0.008,96,191.62733244895935,7,10
organamnist,6,6,0.008,97,191.66319012641907,6,6
organamnist,6,6,0.008,98,191.82204580307007,9,10
organamnist,6,6,0.008,99,191.23432779312134,4,4
organamnist,7,5,0.008,0,164.45242047309875,9,4
organamnist,7,5,0.008,1,163.4210503101349,9,0
organamnist,7,5,0.008,2,163.8801589012146,8,8
organamnist,7,5,0.008,3,163.54529905319214,6,6
organamnist,7,5,0.008,4,163.62652730941772,5,5
organamnist,7,5,0.008,5,163.21473360061646,2,0
organamnist,7,5,0.008,6,163.34761381149292,8,8
organamnist,7,5,0.008,7,163.71236872673035,7,7
organamnist,7,5,0.008,8,163.07154083251953,9,0
organamnist,7,5,0.008,9,163.02766394615173,6,6
organamnist,7,5,0.008,10,163.50196075439453,5,4
organamnist,7,5,0.008,11,163.7208957672119,7,7
organamnist,7,5,0.008,12,164.21477437019348,4,4
organamnist,7,5,0.008,13,163.24918127059937,4,4
organamnist,7,5,0.008,14,163.86601972579956,7,7
organamnist,7,5,0.008,15,163.3436586856842,8,8
organamnist,7,5,0.008,16,163.71462988853455,0,0
organamnist,7,5,0.008,17,163.9028913974762,8,8
organamnist,7,5,0.008,18,163.49930119514465,4,5
organamnist,7,5,0.008,19,164.11964869499207,0,10
organamnist,7,5,0.008,20,163.78935360908508,6,6
organamnist,7,5,0.008,21,163.29569220542908,4,10
organamnist,7,5,0.008,22,163.31965136528015,5,5
organamnist,7,5,0.008,23,162.81881046295166,6,4
organamnist,7,5,0.008,24,163.29223680496216,10,5
organamnist,7,5,0.008,25,163.13750290870667,0,0
organamnist,7,5,0.008,26,163.235182762146,2,2
organamnist,7,5,0.008,27,163.9461271762848,5,5
organamnist,7,5,0.008,28,163.13198447227478,4,4
organamnist,7,5,0.008,29,163.64116644859314,5,5
organamnist,7,5,0.008,30,163.4677028656006,7,7
organamnist,7,5,0.008,31,163.05008792877197,4,4
organamnist,7,5,0.008,32,163.30388259887695,10,10
organamnist,7,5,0.008,33,163.26756310462952,7,7
organamnist,7,5,0.008,34,163.73304677009583,9,9
organamnist,7,5,0.008,35,163.7656123638153,5,5
organamnist,7,5,0.008,36,163.5472755432129,6,6
organamnist,7,5,0.008,37,163.43137550354004,10,10
organamnist,7,5,0.008,38,163.40333199501038,6,6
organamnist,7,5,0.008,39,163.5553047657013,7,7
organamnist,7,5,0.008,40,163.70810532569885,6,4
organamnist,7,5,0.008,41,163.38595390319824,0,10
organamnist,7,5,0.008,42,163.53406476974487,6,6
organamnist,7,5,0.008,43,163.43178296089172,6,6
organamnist,7,5,0.008,44,163.22651481628418,4,4
organamnist,7,5,0.008,45,163.60549330711365,2,2
organamnist,7,5,0.008,46,163.97274351119995,7,7
organamnist,7,5,0.008,47,163.1760025024414,10,1
organamnist,7,5,0.008,48,164.02039885520935,9,5
organamnist,7,5,0.008,49,163.93790102005005,6,6
organamnist,7,5,0.008,50,163.85992217063904,10,4
organamnist,7,5,0.008,51,163.39475345611572,8,8
organamnist,7,5,0.008,52,164.41891312599182,5,5
organamnist,7,5,0.008,53,164.64571332931519,5,5
organamnist,7,5,0.008,54,163.534912109375,10,10
organamnist,7,5,0.008,55,163.76045155525208,9,9
organamnist,7,5,0.008,56,163.69599652290344,8,8
organamnist,7,5,0.008,57,163.37157678604126,10,10
organamnist,7,5,0.008,58,163.98169898986816,6,6
organamnist,7,5,0.008,59,163.94657826423645,10,10
organamnist,7,5,0.008,60,163.3702585697174,4,4
organamnist,7,5,0.008,61,162.99365997314453,7,7
organamnist,7,5,0.008,62,163.90364813804626,9,9
organamnist,7,5,0.008,63,164.0511498451233,10,10
organamnist,7,5,0.008,64,163.75364446640015,5,5
organamnist,7,5,0.008,65,163.38273763656616,8,6
organamnist,7,5,0.008,66,163.65487670898438,6,6
organamnist,7,5,0.008,67,163.81640696525574,7,7
organamnist,7,5,0.008,68,163.45618200302124,0,5
organamnist,7,5,0.008,69,163.32316136360168,1,1
organamnist,7,5,0.008,70,163.64345788955688,6,6
organamnist,7,5,0.008,71,163.55913424491882,9,9
organamnist,7,5,0.008,72,163.8865463733673,2,10
organamnist,7,5,0.008,73,163.97263026237488,4,5
organamnist,7,5,0.008,74,164.3451542854309,6,6
organamnist,7,5,0.008,75,163.42843222618103,5,5
organamnist,7,5,0.008,76,163.7780156135559,4,4
organamnist,7,5,0.008,77,164.22281289100647,10,4
organamnist,7,5,0.008,78,163.09964323043823,4,4
organamnist,7,5,0.008,79,163.24913454055786,5,5
organamnist,7,5,0.008,80,163.08610773086548,6,6
organamnist,7,5,0.008,81,163.13178539276123,3,3
organamnist,7,5,0.008,82,164.7517318725586,6,6
